C.D.S.  -  SIMBAD4 rel 1.113  -  2009.03.16EDT22:07:53

Objects in reference 1989ApJS...69..831W
----------------------------------------

1989ApJS...69..831W

Astrophys. J., Suppl. Ser., 69, 831-895 (1989)
The morphologies and physical properties of ultracompact HII regions.
WOOD D.O.S. and CHURCHWELL E.

-Flags: Tables 4, 14: <[WC89] LLL.ll+B.bb> N=52. Table 14: <[WC89] LLL.ll+B.bbA> N=17

Number of objects : 106

 # ;       identifier        ;typ;  coord1 (Gal,2000/2000)   ;  spec. type   ;#bib;#not
66 ;[WC89] 041.74+0.10       ;HII;041.7417 +00.0973          ;~              ;   5;   0
67 ;IRAS 19048+0748          ;IR ;041.7448 +00.0925          ;~              ;  11;   0
68 ;IRAS 19048+0745          ;IR ;041.7070 +00.0677          ;~              ;   3;   0
69 ;[WC89] 042.90+0.57B      ;HII;042.8959 +00.5737          ;~              ;   2;   0
70 ;[WC89] 042.90+0.57A      ;HII;042.8938 +00.5717          ;~              ;   3;   0
71 ;GAL 042.90+00.57         ;HII;042.89 +00.57              ;~              ;   1;   0
72 ;IRAS 19054+0901          ;IR ;042.8985 +00.5383          ;~              ;   4;   0
73 ;[WC89] 042.42-0.27B      ;HII;042.4106 -00.2585          ;~              ;   3;   0
74 ;[WC89] 042.42-0.27C      ;HII;042.4188 -00.2667          ;~              ;   2;   0
75 ;[WC89] 042.42-0.27       ;HII;042.4190 -00.2669          ;~              ;   1;   0
76 ;[WC89] 042.42-0.27A      ;HII;042.4346 -00.2603          ;~              ;   1;   0
77 ;GAL 042.44-00.26         ;HII;042.4347 -00.2605          ;~              ;   3;   0
78 ;NVSS J190950+081927      ;Y*O;042.4339 -00.2618          ;~              ;  15;   0
79 ;GAL 044.26+00.10         ;HII;044.2611 +00.1042          ;~              ;   5;   0
80 ;IRAS 19096+1001          ;IR ;044.2609 +00.0908          ;~              ;   5;   0
81 ;GAL 043.18-00.52         ;HII;042.9109 -00.7247          ;~              ;  32;   0
82 ;MSX6C G045.0711+00.1325  ;HII;045.0712 +00.1323          ;~              ;  78;   0
83 ;Caswell OH 045.12+00.13  ;HII;045.1224 +00.1324          ;~              ;  95;   0
84 ;GAL 045.48+00.13         ;HII;045.4749 +00.1294          ;~              ;  20;   0
85 ;V* V1369 Aql             ;Mi*;045.4722 +00.0749          ;M6             ;  60;   1
86 ;GAL 045.46+00.06         ;HII;045.4511 +00.0601          ;~              ; 114;   0
87 ;GAL 043.89-00.78         ;HII;043.8894 -00.7839          ;~              ;  38;   0
88 ;IRAS 19191+1538          ;HII;050.3132 +00.6765          ;~              ;  13;   0
89 ;GAL 050.32+00.68         ;HII;050.3154 +00.6761          ;~              ;   5;   0
90 ;IRAS 19202+1524          ;IR ;050.2305 +00.3349          ;~              ;   3;   0
91 ;GAL 050.23+00.33         ;HII;050.2337 +00.3271          ;~              ;   3;   0
92 ;NAME W 51 NORTH          ;Rad;049.4863 -00.3714          ;~              ;  72;   0
93 ;SNR G049.2-00.5          ;SNR;049.4857 -00.3809          ;~              ; 654;   1
94 ;GAL 054.10-00.06         ;HII;054.0963 -00.0595          ;~              ;   6;   0
95 ;IRAS 19294+1836          ;Y*O;054.0926 -00.0637          ;~              ;  10;   0
96 ;SH 2-88 B                ;HII;061.4723 +00.0947          ;~              ; 119;   1
97 ;[WC89] 061.48+0.09A      ;HII;061.4770 +00.0892          ;~              ;   2;   0
98 ;V* BC Cyg                ;Pu*;075.8451 +00.4084          ;M3Iab:         ; 125;   0
99 ;GAL 075.83+00.40         ;HII;075.8339 +00.3977          ;~              ;  16;   0
100;NAME Cygnus 2N           ;HII;075.7828 +00.3429          ;~              ;  58;   1
101;NGC 7538C                ;HII;111.5383 +00.7794          ;~              ;   1;   0
102;Ced 209                  ;Neb;111.5419 +00.7766          ;~              ;  39;   0
103;NGC 7538B                ;HII;111.5421 +00.7769          ;~              ;   8;   0
104;SH 2-158 A               ;HII;111.5433 +00.7787          ;~              ;   7;   0
105;[WC89] 111.54+0.78       ;HII;111.5433 +00.7787          ;~              ;   2;   0
106;NGC 7538                 ;HII;111.5438 +00.7794          ;~              ; 583;   0
================================================================================

